Gene	SampleNumber
PALB2	2
OVGP1	4
TACC2	2
RTN3	1
EXT1	1
SULF1	2
RCBTB2	1
STAM	1
YLPM1	1
ENSG00000121388	1
DDX18	1
TLE4	1
CLGN	1
NIPBL	1
LOC100128908	1
PTCD1	1
FBN2	2
ENPP1	1
CEP110	1
CTBP2	4
HIPK1	1
CASP10	1
MLL3	9
ACADSB	1
JAKMIP1	1
ME1	2
SLC8A3	1
EXOC4	1
GABRA1	1
MYH11	2
CYP4X1	1
ATP6V1C2	1
CADM1	1
CFHR4	1
CYP2C9	1
EPHA7	1
KMO	1
GTPBP2	1
USP34	1
FRK	1
NCAM1	1
PDE4DIP	6
CASP7	2
HHIP	1
SERPINE1	1
TBC1D4	1
RAB3B	1
GLS2	1
STAT4	1
NRAS	1
SPTAN1	2
CACNA1B	1
TET1	2
AKAP3	1
NPR1	1
POLR3E	1
MADD	1
GABRG2	1
HECW1	1
SETDB1	1
NASP	1
RIF1	1
CARD16	1
PRKD3	1
LNX2	2
IFNA5	1
UGT1A8	1
FSCB	2
BHMT	1
ADAMTS9	1
TOPBP1	2
COL19A1	1
REV3L	2
MPP5	1
CNTN1	1
ADAMTSL3	1
HSP90AA1	2
KNTC1	1
CLASP2	2
NDUFAF1	1
SGK269	1
HAS2	2
DDX23	1
WDR89	1
PCDHB18	1
LAMB1	1
KRIT1	1
LRRK2	1
KIAA0999	1
LRP2	5
ABCB6	1
ITPR2	3
LHCGR	2
LPHN3	3
PXK	1
MYH6	1
BIRC3	1
LRRC7	3
STK24	1
TESK1	1
MGAM	1
GJA1	1
CACNA2D1	1
PIK3CA	1
CDH9	1
PDS5B	1
NUP98	1
KDELR2	1
NBEA	3
BCHE	2
ST3GAL3	1
DGKB	2
RHOJ	1
ATP6V0A4	1
PRKCB	1
MYLK	1
FBXL21	1
MOG	1
MAGI1	1
POU6F2	1
HNRNPCL1	1
B3GALTL	1
F2RL2	1
WIF1	1
ATR	2
DYNC1I1	2
ASNS	1
PIK3CG	1
POSTN	1
MTAP	1
ASPM	1
ROS1	2
ADAM29	2
ANXA2	1
GRIN2B	1
HNRPA2B1	1
SORL1	1
TPTE2	1
PRKDC	1
SPTB	1
AGXT2	2
PALM2	1
IFNB1	2
TPP2	1
PREX2	1
SETX	2
MYST4	2
C5orf42	2
NT5E	2
SPP1	1
KDR	2
PPBP	1
CCNB1IP1	1
CHST4	1
LRRC2	2
ABCA1	5
TIMELESS	1
FSIP1	1
TAS1R1	1
MAP4K4	1
LOC100131547	1
CYP1A2	1
COL11A1	3
RPA1	1
MSH4	1
MBNL2	1
PDZD2	1
PRSS21	1
DPYS	1
NRXN1	4
MMP3	2
RAD21	1
METT11D1	2
ADAMTS20	3
MYO3A	1
DOCK8	2
APLP2	2
CHEK1	1
DNA2	1
SPINK5	1
IQGAP1	1
ANGPT1	2
PTGS2	1
EGF	1
RYR3	2
PIK3C2A	1
LIG4	1
DTX3L	1
DSP	2
SI	2
PTPRK	1
SRPK1	1
KLRC3	1
MYT1L	1
GABRA2	2
NRD1	1
NUP153	2
TACC1	1
ROR1	1
CNTNAP2	1
RHOA	1
PELP1	1
STAMBPL1	1
DHX32	1
KRT1	2
HTR2A	2
SIPA1L1	2
CENPF	2
LCLAT1	3
PTPDC1	1
IL12RB2	1
ZNF770	1
USP7	2
QDPR	1
NSD1	1
RPN1	1
MELK	1
INA	1
AOF2	1
ADCY2	2
SLC38A1	1
PPP2CA	1
STK17A	1
FBXW7	1
RP1L1	8
NCF2	2
ANK2	1
ATP6V1C1	1
DST	2
GTF3A	1
IFNA2	1
HIST1H2BH	1
DLAT	1
DLC1	1
AACS	1
NUCKS1	1
NT5C1B	1
PTPRO	2
PIK3R4	3
UGT1A9	1
GCLM	1
IGF2BP3	1
PIAS1	1
