Gene.symbol	t-score	FoldChange	pvalue	FDR
A1BG	-1.9598601	0.876454219	0.0555	0.675
A2M	-0.8762874	0.97005208	0.385	0.919
A2M	-0.8746319	0.956370649	0.386	0.919
A2ML1	0.1935234	1.00532868	0.847	0.987
A4GALT	-0.4825767	0.972766378	0.631	0.965
A4GNT	-0.0366933	0.998878334	0.971	0.998
AAAS	-0.2647184	0.987536077	0.792	0.982
AADAC	-0.5526129	0.97832257	0.583	0.962
AADACL2	-1.1611999	0.972367662	0.251	0.883
AADAT	0.9485194	1.037596041	0.347	0.912
AAED1	1.2808658	1.085664922	0.206	0.875
AAGAB	0.2012455	1.010686805	0.841	0.987
AAK1	-1.705426	0.933983339	0.0942	0.771
AAMP	0.4580049	1.032874894	0.649	0.966
AANAT	-0.8179305	0.965091416	0.417	0.926
AAR2	-1.6129041	0.92621149	0.113	0.8
AARS	1.8434791	1.148246893	0.0711	0.729
AARSD1	-0.1043502	0.994667194	0.917	0.996
AASDH	0.4523522	1.030366948	0.653	0.967
AASDHPPT	-0.3837459	0.977782276	0.703	0.974
AASS	0.013546	1.000402689	0.989	0.999
AATF	0.6397846	1.039564101	0.525	0.949
ABAT	-0.221406	0.987353817	0.826	0.984
ABCA12	-0.3148682	0.991128115	0.754	0.98
ABCA13	-0.0441048	0.999011347	0.965	0.998
ABCA2	-0.4668289	0.981465921	0.643	0.966
ABCA4	-0.6751038	0.975659873	0.503	0.946
ABCA7	-0.3965321	0.968363113	0.693	0.973
ABCA8	-1.0653951	0.971623797	0.292	0.896
ABCA9	-0.8788011	0.978441302	0.384	0.918
ABCB1	-1.0961401	0.864691456	0.278	0.891
ABCB10	1.1283035	1.074296407	0.264	0.889
ABCB5	-0.3378395	0.990015598	0.737	0.979
ABCB6	0.0130661	1.000532063	0.99	0.999
ABCB7	0.0810513	1.004288522	0.936	0.998
ABCB8	-0.2652834	0.987979094	0.792	0.982
ABCB9	-0.0177296	0.998980055	0.986	0.999
ABCC1	-0.6896434	0.956245892	0.494	0.945
ABCC10	1.7781903	1.171724217	0.0813	0.75
ABCC12	0.4695955	1.014447167	0.641	0.966
ABCC2	-0.2395313	0.990446676	0.812	0.984
ABCC3	0.9057613	1.052194227	0.369	0.916
ABCC4	1.0663476	1.100685321	0.291	0.895
ABCC5	-1.1389191	0.949817479	0.26	0.888
ABCC6	-2.0396129	0.933658543	0.0466	0.646
ABCC8	-0.2316088	0.990698835	0.818	0.984
ABCD4	-0.3200988	0.989590654	0.75	0.98
ABCE1	-0.8082294	0.945674644	0.423	0.928
ABCF3	-1.9014754	0.919045797	0.0629	0.702
ABCG1	-2.6844614	0.797624517	0.00977	0.358
ABCG1	-1.5664887	0.786757679	0.123	0.808
ABCG2	2.0885552	1.114634096	0.0418	0.634
ABCG4	-0.1376637	0.993217929	0.891	0.993
ABCG5	-0.7900979	0.963098005	0.433	0.931
ABCG8	-0.0388099	0.998334889	0.969	0.998
ABHD1	1.0276633	1.037363591	0.309	0.899
ABHD11	-0.5521768	0.98151804	0.583	0.962
ABHD12	-0.7307513	0.952137008	0.468	0.941
ABHD12B	1.1047507	1.029402991	0.274	0.89
ABHD13	-1.1959804	0.914770756	0.237	0.883
ABHD14A	0.8025803	1.072590135	0.426	0.928
ABHD14B	-2.3134796	0.850884855	0.0248	0.532
ABHD15	-1.6617865	0.864920016	0.103	0.785
ABHD16A	1.4995647	1.103926814	0.14	0.828
ABHD17B	-1.621147	0.93347225	0.111	0.798
ABHD17C	0.6826548	1.03342745	0.498	0.945
